word,vector
127180,"[-0.2135927677154541,0.016801908612251282,-0.1526462584733963,-0.012821674346923828,0.09696454554796219]"
2335,"[-0.11576196551322937,0.05029980093240738,-0.12029373645782471,-0.10545405745506287,0.03443550318479538]"
113453,"[-0.062387507408857346,-0.007961167022585869,0.03919206187129021,-0.091737300157547,0.11115552484989166]"
71668,"[-0.24169786274433136,-0.115813247859478,-0.07676398754119873,-0.0455000177025795,-0.0025523798540234566]"
2728,"[-0.03494225814938545,0.09669230878353119,-0.11066290736198425,0.07074473798274994,0.13129611313343048]"
858,"[0.835656464099884,0.7952617406845093,-0.15631556510925293,0.33838388323783875,-0.3410206437110901]"
165843,"[-0.4400431215763092,-0.10243985056877136,-0.16273653507232666,-0.11096201837062836,0.17674967646598816]"
3813,"[-0.05472666770219803,-0.09828239679336548,-0.04123533517122269,-0.02383594959974289,0.002063389401882887]"
62383,"[-0.060378268361091614,-0.011189818382263184,0.07429131865501404,-0.05025896430015564,-0.0919526219367981]"
3675,"[-0.1649346947669983,0.1051274910569191,-0.01685270294547081,-0.10051799565553665,0.1451314240694046]"
86644,"[-0.1997656673192978,0.0038952685426920652,0.03728088364005089,0.00462938379496336,0.13316243886947632]"
6059,"[-0.05757937207818031,-0.08980126678943634,0.005724994465708733,-0.0002947499742731452,0.03493252396583557]"
86293,"[-0.055289946496486664,-0.13047082722187042,0.06228999048471451,0.030484484508633614,-0.047617774456739426]"
1441,"[-0.06488519161939621,0.00564074981957674,-0.020337510854005814,-0.2510313391685486,-0.05970354005694389]"
2991,"[-0.009396573528647423,-0.013448728248476982,0.16781117022037506,0.08852943778038025,0.1466158628463745]"
2513,"[0.03548961505293846,0.07581683248281479,0.019714267924427986,-0.07308924198150635,0.05174857750535011]"
1965,"[-0.021375708281993866,0.04504258930683136,-0.052994757890701294,0.06219138205051422,0.04205959290266037]"
103772,"[-0.14884772896766663,-0.10458867251873016,0.02428315207362175,-0.05674835667014122,0.02694712206721306]"
7056,"[-0.04222908243536949,0.041079625487327576,-0.09022730588912964,-0.13127751648426056,0.03372064232826233]"
6218,"[-0.5472690463066101,-0.0010481344070285559,0.031248994171619415,-0.08181661367416382,0.35026392340660095]"
55872,"[-0.02478906325995922,0.042854826897382736,0.0006762463599443436,-0.06745140999555588,-0.010913408361375332]"
1856,"[-0.021336231380701065,0.01746618188917637,-0.05228760093450546,0.024080948904156685,0.07010000199079514]"
48262,"[-0.07300899177789688,-0.06598641723394394,0.06608538329601288,-0.029652247205376625,0.02258802391588688]"
4370,"[-0.3255693018436432,0.14017683267593384,0.16664190590381622,-0.06511126458644867,0.05311353877186775]"
42422,"[-0.05808240547776222,0.04346746578812599,0.025602217763662338,-0.09233534336090088,-0.015327086672186852]"
3745,"[-0.05475189909338951,-0.08115948736667633,0.17938397824764252,0.07448545098304749,0.14607416093349457]"
42725,"[-0.026640567928552628,0.039385415613651276,0.07755384594202042,-0.045975957065820694,0.02440854348242283]"
166946,"[-0.10123046487569809,0.0011927159503102303,-0.1127433106303215,0.012704754248261452,0.08001755177974701]"
5915,"[-0.09689822793006897,0.026483843103051186,0.0024629465769976377,0.03733237832784653,0.061346635222435]"
4936,"[-0.10191506892442703,-0.0009021586738526821,0.03513794764876366,-0.05161285400390625,0.091147780418396]"
1699,"[-0.013689030893146992,0.025051357224583626,-0.023163998499512672,0.04227612167596817,0.0256289504468441]"
85412,"[-0.03852855786681175,-0.03591165691614151,0.0030231312848627567,0.03794912248849869,0.002031681127846241]"
92475,"[-0.19213661551475525,0.038076963275671005,0.07087889313697815,0.039391327649354935,0.04279268905520439]"
32511,"[-0.08917027711868286,-0.07881790399551392,-0.0680210217833519,0.048554934561252594,0.0754564106464386]"
113741,"[0.008244466967880726,0.09915226697921753,-0.002922099083662033,0.008657877333462238,-0.017730671912431717]"
38159,"[-0.0852077528834343,-0.010065844282507896,-0.08940523862838745,0.09631170332431793,-0.041095953434705734]"
619,"[-0.0009420984424650669,-0.039648741483688354,-0.0383329875767231,0.061695728451013565,-0.01847400702536106]"
2175,"[-0.03940115496516228,-0.014699596911668777,-0.03554106131196022,-0.02579033561050892,0.04578953608870506]"
151315,"[0.025699492543935776,-0.044546954333782196,0.07042090594768524,0.04066206514835358,-0.05714968591928482]"
51834,"[-0.09344222396612167,-0.04258979484438896,-0.10645035654306412,-0.054179515689611435,-0.03210745006799698]"
94150,"[-0.05344848334789276,-0.05509417504072189,-0.03225184977054596,-0.0392545610666275,-0.036182887852191925]"
3379,"[-0.05133992061018944,0.01378734689205885,0.02381008490920067,-0.07637609541416168,-0.07784852385520935]"
507,"[-0.024161480367183685,0.10163577646017075,-0.029799573123455048,0.019475657492876053,-0.15974900126457214]"
2916,"[-0.043080590665340424,0.3507094979286194,0.0805029422044754,0.2750675082206726,0.6363822221755981]"
65088,"[-0.2530882656574249,-0.010299294255673885,-0.1648276001214981,-0.028756989166140556,0.1693059802055359]"
4965,"[-0.09955703467130661,0.04925904795527458,-0.022486794739961624,-0.028158949688076973,-0.06446459144353867]"
113,"[0.025205479934811592,0.025977546349167824,0.036755312234163284,0.022954929620027542,0.02414673939347267]"
34,"[0.07759963721036911,-0.22839312255382538,-0.18385861814022064,0.08588628470897675,-1.047511339187622]"
102066,"[0.0067834388464689255,0.009303958155214787,-0.06661803275346756,-0.017469078302383423,0.007955536246299744]"
55908,"[-0.15484718978405,-0.07733795046806335,-0.04862741008400917,0.07400944828987122,0.18250331282615662]"
56908,"[-0.0860673263669014,-0.08184133470058441,0.0421302430331707,0.004478783812373877,-0.06295047700405121]"
3753,"[-0.2012627273797989,0.07392416894435883,0.2735033929347992,0.06807687133550644,0.37058037519454956]"
117176,"[-0.24463114142417908,-0.008826619014143944,-0.0465165376663208,-0.16564971208572388,0.09610006213188171]"
563,"[-0.002760073635727167,-0.02179192192852497,-0.06768573075532913,-0.042774125933647156,-0.00020805653184652328]"
26606,"[-0.019612468779087067,0.005911903455853462,0.00750521756708622,-0.11341076344251633,0.039210498332977295]"
135133,"[-0.17821238934993744,-0.11390452086925507,-0.029933802783489227,-0.0010261808056384325,-0.008493022993206978]"
381,"[-0.03427308797836304,0.004737538285553455,-0.055631086230278015,-0.03934728726744652,-0.3086598515510559]"
58309,"[-0.03179343044757843,0.009633971378207207,0.05587960034608841,-0.1040196642279625,0.11834897100925446]"
112290,"[-0.17105790972709656,-0.19973620772361755,-0.08497817814350128,-0.10536489635705948,0.1482371836900711]"
2594,"[-0.0489327609539032,0.06340096145868301,-0.016053717583417892,-0.014153510332107544,0.1857215017080307]"
7206,"[-0.21722635626792908,-0.06275129318237305,-0.12303086370229721,0.003808838315308094,0.039318569004535675]"
26409,"[0.09359050542116165,0.02517637051641941,-0.003718680702149868,-0.011976486071944237,0.06915364414453506]"
141816,"[-0.3539145290851593,0.024334654211997986,-0.09170109033584595,-0.09475249797105789,0.1051856279373169]"
455,"[0.10433643311262131,0.16199298202991486,-0.04398145526647568,-0.07246804982423782,-0.2524314224720001]"
8928,"[-0.02449340745806694,-0.040134724229574203,-0.09048010408878326,0.01767740398645401,-0.04037882387638092]"
87522,"[0.03359859436750412,-0.04497126489877701,0.04568101838231087,-0.06184488907456398,-0.02001270465552807]"
2243,"[-0.0916130542755127,0.015905722975730896,-0.1366787999868393,0.0190267376601696,0.17297223210334778]"
89904,"[-0.2585429847240448,-0.03212011232972145,-0.025641651824116707,-0.16321341693401337,0.25649434328079224]"
7062,"[-0.04716002196073532,-0.011735987849533558,-0.10526461154222488,0.05191918462514877,0.012906787917017937]"
70293,"[-0.06492748856544495,-0.03498322516679764,-0.01418021135032177,0.1311105638742447,-0.0186256505548954]"
4280,"[-0.24694065749645233,0.08170638233423233,0.06728922575712204,-0.0782572478055954,-0.024353869259357452]"
2739,"[-0.05542720854282379,0.17089612782001495,0.043550655245780945,0.08321196585893631,0.08119519799947739]"
4813,"[-0.14218886196613312,-0.1116679310798645,-0.09132808446884155,-0.044483233243227005,-0.068135105073452]"
4211,"[-0.28997719287872314,0.05590316653251648,-0.08987633883953094,-0.009924874641001225,0.012037825770676136]"
388,"[-0.1038791760802269,-0.08128844946622849,-0.06478766351938248,0.021369412541389465,0.0024314443580806255]"
4857,"[-0.2638682425022125,-0.02576534077525139,-0.016891885548830032,-0.03127897530794144,0.13381026685237885]"
64501,"[-0.0016561346128582954,0.05353150889277458,0.024286838248372078,-0.040547050535678864,-0.07055951654911041]"
5625,"[0.0009648420382291079,-0.05673714354634285,-0.02671896666288376,0.026249391958117485,-0.007126204669475555]"
188189,"[-0.018102150410413742,0.045512035489082336,0.04478166624903679,-0.0866122767329216,0.07788081467151642]"
2521,"[0.01262879092246294,-0.0691065788269043,-0.00819097924977541,0.056065499782562256,0.04806552082300186]"
180045,"[-0.02223432995378971,0.05392586067318916,0.03748033568263054,-0.015553273260593414,-0.055407971143722534]"
88345,"[-0.0009927046485245228,-0.02438877522945404,0.02757657878100872,0.010271663777530193,0.15239031612873077]"
5065,"[0.025169698521494865,-0.09056290984153748,0.0376349575817585,-0.011708380654454231,0.052273914217948914]"
7318,"[-0.14600728452205658,0.022323153913021088,-0.10903254896402359,-0.08699917793273926,0.08539190888404846]"
114935,"[-0.16352398693561554,-0.22831763327121735,-0.1296980232000351,-0.13959193229675293,0.02550249546766281]"
5788,"[-0.1435299962759018,-0.008227961137890816,-0.01062790397554636,-0.018482856452465057,0.1268037110567093]"
3728,"[-0.2377856969833374,0.10406891256570816,-0.08034932613372803,-0.004859269130975008,0.013142288662493229]"
52458,"[0.06345551460981369,0.025026647374033928,-0.019208211451768875,-0.034112509340047836,-0.04088328033685684]"
2206,"[-0.15461067855358124,-0.06991733610630035,-0.06705427169799805,-0.1275615394115448,0.10257196426391602]"
88746,"[-0.11821523308753967,-0.09054256230592728,0.05137325078248978,0.018940506502985954,0.0983596071600914]"
2829,"[0.04458702355623245,0.06032127887010574,-0.0062584225088357925,0.0765245258808136,0.00018666440155357122]"
42556,"[-0.240901380777359,-0.06783925741910934,0.03866364434361458,0.04590555652976036,-0.011246921494603157]"
7255,"[-0.0964997261762619,0.06446631997823715,-0.0446745865046978,-0.014188520610332489,-0.010995777323842049]"
167018,"[-0.34807294607162476,-0.005396472290158272,-0.0375281386077404,-0.2307986319065094,0.11594362556934357]"
147657,"[-0.11124761402606964,0.08201800286769867,-0.021267281845211983,0.02580650895833969,-0.06855501979589462]"
56921,"[-0.07802756130695343,0.08549211174249649,-0.024559741839766502,-0.02176368609070778,-0.004657804500311613]"
91784,"[-0.15915386378765106,-0.022519776597619057,-0.012367406859993935,-0.00039715319871902466,0.08681153506040573]"
5389,"[-0.08781275153160095,-0.07486312836408615,0.15636667609214783,-0.08694799244403839,-0.02434982731938362]"
133771,"[-0.16560938954353333,-0.07203048467636108,0.05076395347714424,-0.13641121983528137,0.1045512780547142]"
85401,"[-0.08186152577400208,0.01191976573318243,-0.10000450164079666,0.05799524486064911,0.0807555764913559]"
444,"[0.03730817511677742,0.05678700655698776,0.05310134217143059,-0.08662408590316772,-0.10872571915388107]"
1401,"[0.05999674275517464,0.034717075526714325,-0.06738700717687607,-0.05788944289088249,-0.028270721435546875]"
7810,"[-0.19597551226615906,0.0431012287735939,-0.07544530183076859,-0.041376274079084396,0.07476627826690674]"
144734,"[-0.02487390674650669,0.06542447209358215,-0.037411127239465714,-0.0796821191906929,0.004555750172585249]"
26693,"[-0.08262082934379578,-0.0071738907136023045,-0.03884952515363693,-0.01955689862370491,-0.015869420021772385]"
193,"[-0.13727355003356934,0.09054070711135864,-0.12030576169490814,0.030001327395439148,-0.16398902237415314]"
3453,"[-0.01158502884209156,0.03858606889843941,-0.003912912681698799,0.0009930841624736786,-0.024521181359887123]"
6950,"[0.06094967946410179,-0.014583944343030453,0.0497770719230175,-0.011474153026938438,0.08952881395816803]"
25825,"[-0.16481301188468933,0.02768712118268013,-0.12083111703395844,-0.07474682480096817,0.06681710481643677]"
1606,"[0.017508961260318756,0.022119024768471718,0.046399883925914764,-0.05994398146867752,-0.0068327500484883785]"
2701,"[-0.0057939812541007996,0.060270003974437714,0.07778974622488022,-0.04095756635069847,0.20069614052772522]"
5137,"[-0.04511384293437004,0.015621477738022804,-0.055611502379179,0.07558439671993256,-0.014774979092180729]"
33830,"[-0.0202714242041111,0.06468690186738968,-0.024057229980826378,-0.08562341332435608,0.08025415241718292]"
5527,"[-0.035747312009334564,0.053474485874176025,0.0074549028649926186,0.00841616839170456,0.05016367882490158]"
2346,"[-0.11881999671459198,0.09720279276371002,-0.13758042454719543,-0.11083170026540756,-0.018127260729670525]"
302,"[0.05738725885748863,-0.07629454135894775,-0.051041677594184875,-0.019842982292175293,0.07779941707849503]"
2820,"[0.000914623960852623,-0.09246045351028442,-0.05907464399933815,0.08106786012649536,0.02695644646883011]"
62081,"[-0.02271420881152153,-0.048292290419340134,-0.09266382455825806,0.022445769980549812,0.0024073428940027952]"
1474,"[-0.09272828698158264,-0.020961040630936623,-0.05993548408150673,-0.0450483039021492,0.0009746183641254902]"
27416,"[-0.03189918398857117,0.034410856664180756,0.08152040094137192,-0.005571972578763962,-0.09167049825191498]"
2779,"[0.005021236836910248,-0.03152025118470192,0.05427512526512146,0.059778179973363876,0.1132427304983139]"
1394,"[0.022856218740344048,0.13072054088115692,-0.15743662416934967,-0.4621543288230896,0.019280990585684776]"
4802,"[-0.2029961347579956,0.016858506947755814,0.029596850275993347,0.054505299776792526,-0.05415991693735123]"
59037,"[-0.06811735779047012,0.059403881430625916,0.04107223078608513,0.03399352356791496,0.04659930244088173]"
27846,"[-0.3343469202518463,0.017412494868040085,-0.07338925451040268,-0.18626801669597626,0.08121660351753235]"
115617,"[-0.34389442205429077,-0.1681768000125885,-0.1408570110797882,-0.27654069662094116,0.12068258225917816]"
143458,"[-0.07398810982704163,-0.0592198520898819,-0.03116440773010254,0.003596445545554161,-0.008694319985806942]"
26614,"[-0.024574104696512222,0.05511040613055229,0.030293667688965797,-0.1369848996400833,0.027434077113866806]"
153,"[-0.06300977617502213,0.12919022142887115,-0.20043215155601501,-0.10867712646722794,-0.793323278427124]"
79702,"[-0.31292301416397095,-0.15776732563972473,-0.20156660676002502,-0.08278059214353561,0.23955196142196655]"
3760,"[-0.001604212448000908,-0.038068532943725586,0.08187539130449295,0.04501169174909592,-0.008563663810491562]"
34542,"[-0.007631594315171242,-0.040846534073352814,-0.06772791594266891,-0.020493023097515106,-0.06297754496335983]"
6793,"[-0.08272875845432281,-0.004744088277220726,0.04366931691765785,-0.035028040409088135,0.03375782445073128]"
3846,"[-0.03583263233304024,-0.08406926691532135,-0.09621398150920868,-0.046042341738939285,0.04417949169874191]"
51935,"[0.03011557273566723,-0.08623407781124115,-0.14999157190322876,-0.0904134213924408,0.2621895372867584]"
8491,"[-0.05513223260641098,-0.0807010680437088,-0.07394914329051971,-0.07331527024507523,0.012335292063653469]"
40697,"[-0.001445443369448185,-0.057654377073049545,-0.09625929594039917,-0.03869694471359253,0.09381958097219467]"
33310,"[0.0565837137401104,0.06976959109306335,0.042790256440639496,-0.03977571427822113,0.014754203148186207]"
6086,"[0.06046731024980545,-0.06218220293521881,-0.06715180724859238,-0.04899636283516884,0.05235489830374718]"
7061,"[-0.10202287882566452,0.01009279303252697,-0.10919597744941711,0.06511461734771729,0.08382082730531693]"
31435,"[-0.10073503106832504,-0.0160064734518528,-0.043893881142139435,-0.1269344836473465,-0.03198584169149399]"
3037,"[-0.1707836389541626,-0.033261265605688095,-0.06019693985581398,0.11575299501419067,0.45305800437927246]"
170357,"[-0.36125046014785767,-0.09595349431037903,-0.0777420848608017,-0.24109461903572083,-0.004245726391673088]"
130490,"[0.07049372047185898,0.005022823810577393,-0.001073335763067007,-0.041492145508527756,0.04775405675172806]"
74228,"[-0.09077277779579163,-0.09665647894144058,-0.07750193774700165,-0.039923399686813354,-0.018176212906837463]"
335,"[-0.05380396917462349,0.020111870020627975,-0.05165892466902733,0.02591727301478386,-0.05939488112926483]"
31804,"[-0.019762324169278145,0.039693139493465424,-0.05984010919928551,0.009183268994092941,-0.037707895040512085]"
6156,"[-0.12214372307062149,0.07235269248485565,-0.06754101067781448,0.024599067866802216,0.17594628036022186]"
27619,"[0.0005198984872549772,-0.09962014108896255,-0.08578018844127655,-0.08973440527915955,0.08524341136217117]"
2003,"[-0.0019021225161850452,0.09365224093198776,0.0318392775952816,0.18330730497837067,-0.040033064782619476]"
735,"[-0.01756780967116356,-0.09092240035533905,0.002527596428990364,-0.1250816285610199,-0.06238973140716553]"
93,"[0.01696022041141987,-0.05840874835848808,0.09637612849473953,-0.013205116614699364,-0.010865623131394386]"
7151,"[0.026699893176555634,-0.01791365258395672,-0.03675210103392601,0.07865054160356522,0.024069296196103096]"
182823,"[-0.2703133821487427,-0.02296053059399128,-0.09097037464380264,0.005739523097872734,0.043217193335294724]"
26236,"[-0.08508731424808502,-0.07358888536691666,0.06334646791219711,-0.076349638402462,0.08672928065061569]"
158,"[0.017461637035012245,-0.01574106700718403,-0.12343157827854156,0.046114448457956314,-0.3706406056880951]"
56915,"[0.04204469919204712,0.022318102419376373,-0.08570268750190735,0.04960985481739044,0.0744180753827095]"
88069,"[-0.0722317025065422,-0.08514907956123352,-0.02024810016155243,0.006365629844367504,0.05836239457130432]"
89580,"[-0.12883023917675018,0.047210074961185455,-0.026294520124793053,0.07645127177238464,0.08302438259124756]"
168846,"[-0.3923083543777466,0.022892102599143982,-0.044581182301044464,-0.19920700788497925,0.03719746321439743]"
3990,"[-0.044422294944524765,0.02617032825946808,0.0585324652493,0.04727445915341377,0.09157972782850266]"
3535,"[-0.2248544842004776,0.29768186807632446,0.310348242521286,0.2247195988893509,0.3570306897163391]"
4103,"[-0.0707130879163742,-0.03424762561917305,0.08284489065408707,0.03640034794807434,0.0880478173494339]"
87287,"[-0.10089920461177826,-0.03569607064127922,-0.029233714565634727,-0.07309732586145401,0.11499075591564178]"
58425,"[-0.1116689071059227,0.028722651302814484,-0.016616709530353546,0.02398786135017872,0.10376124829053879]"
1267,"[0.14543920755386353,0.3514572083950043,-0.2657133638858795,-0.49952295422554016,-0.009861966595053673]"
1406,"[-0.13128674030303955,0.01966758631169796,-0.03760455548763275,-0.07632439583539963,-0.03581155091524124]"
27320,"[-0.014674458652734756,0.0684526115655899,-0.10926872491836548,-0.05090462416410446,0.1156112402677536]"
5614,"[-0.03619543835520744,-0.03752928599715233,0.07031066715717316,0.06848990172147751,0.028780490159988403]"
134393,"[-0.13234905898571014,-0.10199493169784546,-0.03578246384859085,-0.08592385053634644,0.02004063129425049]"
6244,"[0.059603944420814514,0.05615649372339249,-0.09212251007556915,-0.013838697224855423,0.06235739588737488]"
4738,"[-0.19834990799427032,0.11765540391206741,-0.0829305499792099,-0.04610032960772514,-0.04348505660891533]"
1950,"[-0.02927299030125141,0.04033129662275314,0.03640671446919441,-0.018261179327964783,0.015388227999210358]"
4639,"[-0.043369367718696594,0.07647537440061569,0.011785700917243958,-0.06343333423137665,0.02285403199493885]"
5577,"[-0.3877684473991394,-0.03947502002120018,-0.06579633802175522,-0.03934650868177414,0.1711103618144989]"
6776,"[-0.06899263709783554,-0.07110595703125,0.04957491531968117,0.07336150109767914,0.01626274734735489]"
2074,"[0.013180249370634556,0.0769524946808815,0.03585152328014374,-0.05527434125542641,0.06259197741746902]"
3551,"[-0.302365243434906,-0.0018327736761420965,0.06695882230997086,0.05410628020763397,0.029481368139386177]"
2905,"[0.05040556937456131,-0.08254851400852203,-0.07955148816108704,-0.06315331906080246,0.040501389652490616]"
7050,"[-0.13508151471614838,0.0686987042427063,0.03207160532474518,-0.12155919522047043,0.036851078271865845]"
7217,"[-0.054053157567977905,0.0726056843996048,0.03163469210267067,-0.015081490390002728,-0.024821694940328598]"
98607,"[0.08271028101444244,0.05822841078042984,0.017470818012952805,-0.03298753872513771,0.08207613229751587]"
31610,"[-0.13201510906219482,-0.0842733159661293,-0.13966777920722961,-0.15258032083511353,0.029359642416238785]"
5023,"[0.03440094739198685,0.004087461158633232,0.03970791772007942,-0.012878134846687317,0.09029030054807663]"
37731,"[-0.06813676655292511,-0.05192413181066513,0.02221226878464222,-0.09389062225818634,-0.052077360451221466]"
4195,"[-0.21469324827194214,-0.09421896934509277,-0.13637082278728485,-0.015870705246925354,0.08887650817632675]"
79139,"[0.14220042526721954,0.003545589279383421,-0.07210532575845718,0.047651808708906174,-0.04924573749303818]"
2807,"[0.0015809512697160244,-0.03187977522611618,0.06226449832320213,-0.025864075869321823,0.006006860639899969]"
3952,"[-0.016809064894914627,-0.0027919127605855465,0.03687296435236931,-0.0519828163087368,-0.05034482479095459]"
150548,"[-0.5082851052284241,-0.07492423057556152,-0.21293795108795166,-0.1762394905090332,0.03415443003177643]"
4171,"[-0.1574304699897766,0.0405159629881382,0.0705254003405571,-0.10301743447780609,0.021648384630680084]"
2502,"[0.012886011973023415,0.47893884778022766,-0.2798859775066376,0.04765988141298294,0.7173552513122559]"
3160,"[-0.2700466215610504,-0.0471489392220974,0.0756472796201706,0.18814300000667572,0.42073938250541687]"
6659,"[-0.3324671685695648,-0.06523983925580978,-0.022267689928412437,-0.013786111027002335,0.13820895552635193]"
3539,"[0.06158985570073128,0.006089189555495977,0.006733978167176247,-0.02594071626663208,0.028234845027327538]"
5995,"[-0.34150832891464233,0.13387803733348846,0.24890978634357452,-0.04358445480465889,0.4853258430957794]"
3475,"[-0.041732560843229294,-0.06857673078775406,0.024703437462449074,0.007003788836300373,-0.07394605875015259]"
1792,"[-0.02094072476029396,0.054524559527635574,0.08651942014694214,-0.01407833956182003,0.12115900963544846]"
71466,"[0.03209459036588669,0.06321585923433304,-0.042086873203516006,0.0554768405854702,-0.014631223864853382]"
7345,"[-0.023252595216035843,0.018999183550477028,0.05583009868860245,-0.10299316048622131,-0.053097065538167953]"
90531,"[-0.18074536323547363,-0.024522751569747925,-0.10490939021110535,0.019851747900247574,0.12279936671257019]"
27879,"[-0.12790447473526,0.0059345792979002,-0.08382391929626465,-0.14976002275943756,0.06581709533929825]"
147,"[0.01849920116364956,0.05798811465501785,-0.12222106009721756,0.11640030145645142,-0.2841958999633789]"
5288,"[-0.28452420234680176,-0.016481919214129448,0.009136388078331947,-0.06728345155715942,-0.002212254097685218]"
3251,"[-0.08522611856460571,0.06601766496896744,0.10469575226306915,-0.01966332271695137,0.04530223086476326]"
4347,"[-0.019987335428595543,-0.01844371110200882,-0.021814605221152306,-0.053727734833955765,0.08341367542743683]"
4717,"[-0.054852426052093506,0.09462068229913712,0.01602039486169815,0.038114216178655624,0.08271204680204391]"
616,"[0.30247005820274353,0.27740341424942017,0.10039162635803223,0.2757873237133026,-0.3007773756980896]"
69524,"[-0.1019299179315567,-0.14579692482948303,-0.08837337046861649,0.12182965129613876,-0.02363244630396366]"
589,"[0.4884165823459625,1.1600477695465088,-0.09703536331653595,0.7480425834655762,-1.4249370098114014]"
103984,"[-0.02047492377460003,0.05089271813631058,-0.1125900149345398,0.002580896019935608,-0.055534325540065765]"
69640,"[-0.11971412599086761,0.08037593960762024,0.03812321275472641,-0.025475531816482544,0.019573170691728592]"
5296,"[0.0009395971428602934,-0.01649572141468525,0.04863791912794113,-0.05523913726210594,0.035450924187898636]"
